Regions,Ad Types,eCPM API
string,string,string
419,Banner,0.14004
419,Interstitial,5.12292
419,Rewarded Video,7.27572
AD,Banner,0.07308
AD,Interstitial,1.74
AD,Rewarded Video,6.58836
AE,Banner,2.4
AE,Interstitial,7.6704
AE,Rewarded Video,8.0592
AF,Banner,0.02748
AF,Interstitial,0.67344
AF,Rewarded Video,1.23756
AL,Interstitial,0.8784
AL,Rewarded Video,1.152
AM,Interstitial,1.2528
AM,Rewarded Video,1.296
AO,Interstitial,0.936
AO,Rewarded Video,2.6352
AR,Banner,0.2778
AR,Interstitial,11.9292
AR,Rewarded Video,19.92648
AT,Interstitial,6.2064
AT,Rewarded Video,10.0512
AU,Banner,0.51216
AU,Interstitial,38.01444
AU,Rewarded Video,53.757
AZ,Banner,0.0642
AZ,Interstitial,2.67048
AZ,Rewarded Video,4.20864
BB,Rewarded Video,1.5984
BD,Banner,0.02892
BD,Interstitial,0.71496
BD,Rewarded Video,0.99864
BE,Banner,0.06312
BE,Interstitial,2.75496
BE,Rewarded Video,3.01728
BG,Banner,0.2466
BG,Interstitial,15.39516
BG,Rewarded Video,13.58112
BH,Banner,0.11448
BH,Interstitial,7.65624
BH,Rewarded Video,10.80444
BJ,Rewarded Video,2.2752
BL,Interstitial,0.7632
BL,Rewarded Video,1.2384
BN,Interstitial,1.1088
BN,Rewarded Video,9.072
BO,Banner,0.1728
BO,Interstitial,1.29936
BO,Rewarded Video,2.1312
BR,Banner,0.14556
BR,Interstitial,6.09228
BR,Rewarded Video,8.23836
BS,Interstitial,1.008
BS,Rewarded Video,2.6208
BY,Banner,0.42624
BY,Interstitial,1.88592
BY,Rewarded Video,3.1008
BZ,Interstitial,0.4752
BZ,Rewarded Video,0.8496
CA,Banner,0.54444
CA,Interstitial,30.72384
CA,Rewarded Video,38.73816
CH,Interstitial,9.1152
CH,Rewarded Video,12.2976
CL,Banner,0.09252
CL,Interstitial,5.2764
CL,Rewarded Video,7.53732
CM,Interstitial,0.9792
CM,Rewarded Video,2.3472
CN,Interstitial,1.7568
CN,Rewarded Video,1.4112
CO,Banner,0.05184
CO,Interstitial,2.45268
CO,Rewarded Video,3.60252
CR,Banner,0.1344
CR,Interstitial,6.55764
CR,Rewarded Video,10.446
CS,Interstitial,2.592
CS,Rewarded Video,4.0464
CU,Interstitial,1.1952
CU,Rewarded Video,1.584
CY,Interstitial,1.9728
CY,Rewarded Video,4.9104
CZ,Banner,0.3
CZ,Interstitial,3.72
CZ,Rewarded Video,4.68
DE,Banner,0.20304
DE,Interstitial,12.96444
DE,Rewarded Video,15.08124
default,Banner,0.3
default,Interstitial,2.4048
default,Rewarded Video,4.2048
default,Splash,0.696
DJ,Interstitial,0.5904
DJ,Rewarded Video,1.3392
DK,Banner,0.17232
DK,Interstitial,15.98064
DK,Rewarded Video,19.407
DO,Banner,0.4464
DO,Interstitial,1.8864
DO,Rewarded Video,2.928
DZ,Interstitial,0.7632
DZ,Rewarded Video,1.152
EC,Banner,0.288
EC,Interstitial,2.0688
EC,Rewarded Video,4.6032
EE,Interstitial,3.888
EE,Rewarded Video,4.3632
EG,Banner,0.04512
EG,Interstitial,1.1952
EG,Rewarded Video,2.12016
ES,Banner,0.13116
ES,Interstitial,7.4142
ES,Rewarded Video,9.84408
ET,Interstitial,1.2816
ET,Rewarded Video,1.944
FI,Interstitial,3.744
FI,Rewarded Video,8.1072
FJ,Interstitial,1.0656
FJ,Rewarded Video,1.2672
FR,Banner,0.17808
FR,Interstitial,7.5084
FR,Rewarded Video,10.56168
GA,Interstitial,0.5328
GA,Rewarded Video,0.9072
GD,Interstitial,0.6192
GD,Rewarded Video,2.2176
GE,Interstitial,1.1232
GE,Rewarded Video,1.512
GF,Interstitial,2.2464
GF,Rewarded Video,3.4128
GH,Interstitial,1.0368
GH,Rewarded Video,3.8304
GI,Interstitial,1.8576
GI,Rewarded Video,2.2752
GM,Interstitial,0.432
GM,Rewarded Video,10.5552
GR,Banner,0.12096
GR,Interstitial,5.65092
GR,Rewarded Video,6.62184
GT,Interstitial,1.3104
GT,Rewarded Video,1.8576
GU,Interstitial,11.8224
GU,Rewarded Video,8.3952
GY,Interstitial,0.8928
GY,Rewarded Video,1.8432
HK,Banner,0.37188
HK,Interstitial,15.18852
HK,Rewarded Video,25.5486
HN,Banner,0.10056
HN,Interstitial,5.13096
HN,Rewarded Video,6.32892
HR,Interstitial,2.2032
HR,Rewarded Video,3.2256
HT,Interstitial,0.648
HT,Rewarded Video,1.2672
HU,Interstitial,2.6064
HU,Rewarded Video,4.4784
ID,Banner,0.06156
ID,Interstitial,2.49732
ID,Rewarded Video,3.97812
IE,Interstitial,4.5936
IE,Rewarded Video,9.2736
IL,Interstitial,4.5504
IL,Rewarded Video,6.7392
IN,Banner,0.04524
IN,Interstitial,1.62768
IN,Rewarded Video,2.18604
IQ,Banner,0.03096
IQ,Interstitial,1.23924
IQ,Rewarded Video,1.87128
IR,Rewarded Video,0.2304
IS,Banner,0.14916
IS,Interstitial,9.7704
IS,Rewarded Video,16.92216
IT,Banner,0.10944
