Regions,Ad Types,eCPM API
string,string,string
419,Banner,0.1167
419,Interstitial,4.2691
419,Rewarded Video,6.0631
AD,Banner,0.0609
AD,Interstitial,1.45
AD,Rewarded Video,5.4903
AE,Banner,2
AE,Interstitial,6.392
AE,Rewarded Video,6.716
AF,Banner,0.0229
AF,Interstitial,0.5612
AF,Rewarded Video,1.0313
AL,Interstitial,0.732
AL,Rewarded Video,0.96
AM,Interstitial,1.044
AM,Rewarded Video,1.08
AO,Interstitial,0.78
AO,Rewarded Video,2.196
AR,Banner,0.2315
AR,Interstitial,9.941
AR,Rewarded Video,16.6054
AT,Interstitial,5.172
AT,Rewarded Video,8.376
AU,Banner,0.4268
AU,Interstitial,31.6787
AU,Rewarded Video,44.7975
AZ,Banner,0.0535
AZ,Interstitial,2.2254
AZ,Rewarded Video,3.5072
BB,Rewarded Video,1.332
BD,Banner,0.0241
BD,Interstitial,0.5958
BD,Rewarded Video,0.8322
BE,Banner,0.0526
BE,Interstitial,2.2958
BE,Rewarded Video,2.5144
BG,Banner,0.2055
BG,Interstitial,12.8293
BG,Rewarded Video,11.3176
BH,Banner,0.0954
BH,Interstitial,6.3802
BH,Rewarded Video,9.0037
BJ,Rewarded Video,1.896
BL,Interstitial,0.636
BL,Rewarded Video,1.032
BN,Interstitial,0.924
BN,Rewarded Video,7.56
BO,Banner,0.144
BO,Interstitial,1.0828
BO,Rewarded Video,1.776
BR,Banner,0.1213
BR,Interstitial,5.0769
BR,Rewarded Video,6.8653
BS,Interstitial,0.84
BS,Rewarded Video,2.184
BY,Banner,0.3552
BY,Interstitial,1.5716
BY,Rewarded Video,2.584
BZ,Interstitial,0.396
BZ,Rewarded Video,0.708
CA,Banner,0.4537
CA,Interstitial,25.6032
CA,Rewarded Video,32.2818
CH,Interstitial,7.596
CH,Rewarded Video,10.248
CL,Banner,0.0771
CL,Interstitial,4.397
CL,Rewarded Video,6.2811
CM,Interstitial,0.816
CM,Rewarded Video,1.956
CN,Interstitial,1.464
CN,Rewarded Video,1.176
CO,Banner,0.0432
CO,Interstitial,2.0439
CO,Rewarded Video,3.0021
CR,Banner,0.112
CR,Interstitial,5.4647
CR,Rewarded Video,8.705
CS,Interstitial,2.16
CS,Rewarded Video,3.372
CU,Interstitial,0.996
CU,Rewarded Video,1.32
CY,Interstitial,1.644
CY,Rewarded Video,4.092
CZ,Banner,0.25
CZ,Interstitial,3.1
CZ,Rewarded Video,3.9
DE,Banner,0.1692
DE,Interstitial,10.8037
DE,Rewarded Video,12.5677
default,Banner,0.25
default,Interstitial,2.004
default,Rewarded Video,3.504
default,Splash,0.58
DJ,Interstitial,0.492
DJ,Rewarded Video,1.116
DK,Banner,0.1436
DK,Interstitial,13.3172
DK,Rewarded Video,16.1725
DO,Banner,0.372
DO,Interstitial,1.572
DO,Rewarded Video,2.44
DZ,Interstitial,0.636
DZ,Rewarded Video,0.96
EC,Banner,0.24
EC,Interstitial,1.724
EC,Rewarded Video,3.836
EE,Interstitial,3.24
