Ad Types,eCPMGroup
string,string
Rewarded Video,100
Rewarded Video,70
Rewarded Video,50
Rewarded Video,30
Rewarded Video,20
Rewarded Video,10
Rewarded Video,7
Rewarded Video,5
Rewarded Video,4
Rewarded Video,3
Rewarded Video,2
Rewarded Video,1
Rewarded Video,0
Interstitial,100
Interstitial,70
Interstitial,50
Interstitial,30
Interstitial,20
Interstitial,10
Interstitial,7
Interstitial,5
Interstitial,4
Interstitial,3
Interstitial,2
Interstitial,1
Interstitial,0
Banner,5
Banner,3
Banner,2
Banner,1
Banner,0.5
Banner,0.2
Banner,0.1
Banner,0.05
Banner,0
